Name,Genre,Description
dog heaven,children,"in newbery medalist cynthia rylant's classic bestseller, the author comforts readers young and old who have lost a dog. recommended highly by pet lovers around the world, dog heaven not only comforts but also brings a tear to anyone who is devoted to a pet. from expansive fields where dogs can run and run to delicious biscuits no dog can resist, rylant paints a warm and affectionate picture of the ideal place god would, of course, create for man's best friend. the first picture book illustrated by the author, dog heaven is enhanced by rylant's bright, bold paintings that perfectly capture an afterlife sure to bring solace to anyone who is grieving. In Newbery Medalist Cynthia Rylant's classic bestseller, the author comforts readers young and old who have lost a dog. Recommended highly by pet lovers around the world, Dog Heaven not only comforts but also brings a tear to anyone who is devoted to a pet. From expansive fields where dogs can run and run to delicious biscuits no dog can resist, Rylant paints a warm and affectionate picture of the ideal place God would, of course, create for man's best friend. The first picture book illustrated by the author, Dog Heaven is enhanced by Rylant's bright, bold paintings that perfectly capture an afterlife sure to bring solace to anyone who is grieving."
the saturdays,children,"meet the melendys! the four melendy children live with their father and cuffy, their beloved housekeeper, in a worn but comfortable brownstone in new york city. there's thirteen-year-old mona, who has decided to become an actress; twelve-year-old mischievous rush; ten-and-a-half-year-old randy, who loves to dance and paint; and thoughtful oliver, who is just six. tired of wasting saturdays doing nothing but wishing for larger allowances, the four melendys jump at randy's idea to start the independent saturday afternoon adventure club (i.s.a.a.c.). if they pool their resources and take turns spending the whole amount, they can each have at least one memorable saturday afternoon of their own. before long, i.s.a.a.c. is in operation and every saturday is definitely one to remember. written more than half a century ago, the saturdays unfolds with all the ripe details of a specific place and period but remains, just the same, a winning, timeless tale. the saturdaysis the first installment of enright's melendy quartet, an engaging and warm series about the close-knit melendy family and their surprising adventures. Meet the Melendys! The four Melendy children live with their father and Cuffy, their beloved housekeeper, in a worn but comfortable brownstone in New York City. There's thirteen-year-old Mona, who has decided to become an actress; twelve-year-old mischievous Rush; ten-and-a-half-year-old Randy, who loves to dance and paint; and thoughtful Oliver, who is just six. Tired of wasting Saturdays doing nothing but wishing for larger allowances, the four Melendys jump at Randy's idea to start the Independent Saturday Afternoon Adventure Club (I.S.A.A.C.). If they pool their resources and take turns spending the whole amount, they can each have at least one memorable Saturday afternoon of their own. Before long, I.S.A.A.C. is in operation and every Saturday is definitely one to remember. Written more than half a century ago, The Saturdays unfolds with all the ripe details of a specific place and period but remains, just the same, a winning, timeless tale. The Saturdaysis the first installment of Enright's Melendy Quartet, an engaging and warm series about the close-knit Melendy family and their surprising adventures."
the legend of rock paper scissors,children,"you've played the game. now read the legend of how it all began . . . long ago, in an ancient and distant realm called the kingdom of backyard, there lived a warrior named rock. meanwhile in the empire of mom's home office, a second great warrior sought the glory of battle. and his name was paper. at the same time, in the kitchen realm, in the tiny village of junk drawer, lived a third warrior. they called her scissors. these three were the strongest, smartest, and fastest in all the land. time and again they beat the most fearsome opponents they could find: an apricot, a computer printer--even frozen, breaded, dinosaur-shaped chicken nuggets! but when the warriors finally meet each other, the most epic round of battles begins . . . and never ends. that is why, to this day, children around the world honor these worthy adversaries by playing rock, paper, scissors! You've played the game. Now read the legend of how it all began . . . Long ago, in an ancient and distant realm called the Kingdom of Backyard, there lived a warrior named ROCK. Meanwhile in the Empire of Mom's Home Office, a second great warrior sought the glory of battle. And his name was PAPER. At the same time, in the Kitchen Realm, in the tiny village of Junk Drawer, lived a third warrior. They called her SCISSORS. These three were the strongest, smartest, and fastest in all the land. Time and again they beat the most fearsome opponents they could find: an apricot, a computer printer--even frozen, breaded, dinosaur-shaped chicken nuggets! But when the warriors finally meet each other, the most epic round of battles begins . . . and never ends. That is why, to this day, children around the world honor these worthy adversaries by playing ROCK, PAPER, SCISSORS!"
leo the littlest seahorse,children,"in the warm waters of the coral reef, one hundred and one baby seahorses set out on an adventure... In the warm waters of the coral reef, one hundred and one baby seahorses set out on an adventure..."
miss mary mack,children,"everyone knows some version of this popular children's hand-clapping rhyme, but in this adaptation, the fateful jump over the fence is just the beginning of the fun. Everyone knows some version of this popular children's hand-clapping rhyme, but in this adaptation, the fateful jump over the fence is just the beginning of the fun."
tales of a fourth grade nothing,children,"living with his little brother, fudge, makes peter hatcher feel like a fourth grade nothing. whether fudge is throwing a temper tantrum in a shoe store, smearing smashed potatoes on walls at hamburger heaven, or scribbling all over peter's homework, he's never far from trouble. he's a two-year-old terror who gets away with everything--and peter's had enough. when fudge walks off with dribble, peter's pet turtle, it's the last straw. peter has put up with fudge too long. how can he get his parents to pay attention to him for a change? Living with his little brother, Fudge, makes Peter Hatcher feel like a fourth grade nothing. Whether Fudge is throwing a temper tantrum in a shoe store, smearing smashed potatoes on walls at Hamburger Heaven, or scribbling all over Peter's homework, he's never far from trouble. He's a two-year-old terror who gets away with everything--and Peter's had enough. When Fudge walks off with Dribble, Peter's pet turtle, it's the last straw. Peter has put up with Fudge too long. How can he get his parents to pay attention to him for a change?"
"letty on the land  (our australian girl - letty, #3)",children,"letty's journey continues in this, the third of exciting four books about a free-settler girl in a new land. letty is finally making a life for herself in new south wales when her world is thrown into turmoil again. the family she is working for are going back to their home in the country, and they want letty to go with them to the blue mountains! living in the harsh australian bush is beyond what letty could have imagined, and she soon starts to wonder if she's made the right choice. but just when she is at her lowest point, someone appears from letty's past - someone marvellous... Letty's journey continues in this, the third of exciting four books about a free-settler girl in a new land. Letty is finally making a life for herself in New South Wales when her world is thrown into turmoil again. The family she is working for are going back to their home in the country, and they want Letty to go with them to the Blue Mountains! Living in the harsh Australian bush is beyond what Letty could have imagined, and she soon starts to wonder if she's made the right choice. But just when she is at her lowest point, someone appears from Letty's past - someone marvellous..."
if i built a house,children,"the much-anticipated follow-up to the e. b. white award-winning picture book if i built a car in if i built a car, imaginative jack dreamed up a whimsical fantasy ride that could do just about anything. now he's back and ready to build the house of his dreams, complete with a racetrack, flying room, and gigantic slide. jack's limitless creativity and infectious enthusiasm will inspire budding young inventors to imagine their own fantastical designs. chris van dusen's vibrant illustrations marry retro appeal with futuristic style as he, once again, gives readers a delightfully rhyming text that absolutely begs to be read aloud. The much-anticipated follow-up to the E. B. White Award-winning picture book If I Built a Car In If I Built a Car, imaginative Jack dreamed up a whimsical fantasy ride that could do just about anything. Now he's back and ready to build the house of his dreams, complete with a racetrack, flying room, and gigantic slide. Jack's limitless creativity and infectious enthusiasm will inspire budding young inventors to imagine their own fantastical designs. Chris Van Dusen's vibrant illustrations marry retro appeal with futuristic style as he, once again, gives readers a delightfully rhyming text that absolutely begs to be read aloud."
the sound of colors: a journey of the imagination,children,a young woman losing her vision rides the subway with her dog in search of emotional healing. A young woman losing her vision rides the subway with her dog in search of emotional healing.
the bald bandit,children,third-grader dink and his detective friends hope to receive a big reward by finding the person whose video recorder picked up a picture of the local bank robber. Third-grader Dink and his detective friends hope to receive a big reward by finding the person whose video recorder picked up a picture of the local bank robber.
"detective camp (a to z mysteries: super edition, #1)",children,"dink, josh, and ruth rose are back! this time, they're off to a camp for detectives! the camp directors have set up a week of lessons in forensics and fun mysteries for the campers to solve. the kids are following the planned clues when they stumble upon a real crime. this exciting extension to the a to z mysteries chapter book series features favorite characters, a longer plot, alphabet clues, and a 26-letter message hidden in the art. ""i will be so sad when i have read z, and there will be no more dink, josh, and ruth rose.""--jack p. ""i think if you're not that busy, you could do every letter again.""--abigail d. with the publication of the zombie zone in april 2005, the a to z mysteries series was complete. but, a to z fans, no need to fear . . . the a to z mysteries super editions are here! the fans wanted more, and they're getting it--more adventure, more illustrations, more dink, josh, and ruth rose--all in a book nearly double the length of standard a to z mysteries. the alphabet may be finished, but a to z fun keeps on coming! from the trade paperback edition. Dink, Josh, And Ruth Rose are back! This time, they're off to a camp for detectives! The camp directors have set up a week of lessons in forensics and fun mysteries for the campers to solve. The kids are following the planned clues when they stumble upon a real crime. This exciting extension to the A to Z Mysteries chapter book series features favorite characters, a longer plot, alphabet clues, and a 26-letter message hidden in the art. ""I will be so sad when I have read Z, and there will be no more Dink, Josh, and Ruth Rose.""--Jack P. ""I think if you're not that busy, you could do every letter again.""--Abigail D. With the publication of The Zombie Zone in April 2005, the A to Z Mysteries series was complete. But, A to Z fans, no need to fear . . . the A to Z Mysteries Super Editions are here! The fans wanted more, and they're getting it--more adventure, more illustrations, more Dink, Josh, and Ruth Rose--all in a book nearly double the length of standard A to Z Mysteries. The alphabet may be finished, but A to Z fun keeps on coming! From the Trade Paperback edition."
"the kidnapped king (a to z mysteries, #11)",children,"k is for kidnapped! someone has kidnapped the king and queen of socotra. for safety's sake, their son is staying with dink until they are safe. but then the prince is kidnapped, too! can dink, josh, and ruth rose unmask the royals' enemies before it's too late? or is the royal family of socotra gone forever? K is for Kidnapped! Someone has kidnapped the king and queen of Socotra. For safety's sake, their son is staying with Dink until they are safe. But then the prince is kidnapped, too! Can Dink, Josh, and Ruth Rose unmask the royals' enemies before it's too late? Or is the royal family of Socotra gone forever?"
unreal!,children,"this is an alternate cover edition for isbn:  did you know that if you read for eight hours a day and tried to get through all the copies of unreal! ever printed you would be more than a hundred years old before you finished? and you wouldn't be any crazier than most of the characters in this spooky, funny and surprising book. if you lose your copy, try looking: * for the most dog-eared book in the house * in the loo * next to your parents' bed why does unreal! go missing so ofter? there are eight reasons and you'll find them all between its covers. This is an alternate cover edition for ISBN:  Did you know that if you read for eight hours a day and tried to get through all the copies of Unreal! ever printed you would be more than a hundred years old before you finished? And you wouldn't be any crazier than most of the characters in this spooky, funny and surprising book. If you lose your copy, try looking: * for the most dog-eared book in the house * in the loo * next to your parents' bed Why does Unreal! go missing so ofter? There are eight reasons and you'll find them all between its covers."
